City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
468,Puerto Escondido,15.85,-97.0667,86.83,62,1,0.0,MX,2021-12-04 23:05:54
469,Cabo San Lucas,22.8909,-109.9124,83.52,63,72,5.01,MX,2021-12-04 23:01:24
470,Puerto Colombia,10.9878,-74.9547,82.49,80,67,20.18,CO,2021-12-04 23:05:54
471,Slave Lake,55.2834,-114.769,3.18,85,90,13.8,CA,2021-12-04 23:05:54
472,Batagay,67.6333,134.6333,-26.32,95,100,3.44,RU,2021-12-04 23:05:55
473,Mazyr,52.0495,29.2456,30.0,82,100,8.37,BY,2021-12-04 23:05:55
474,Estelle,29.8458,-90.1067,75.0,70,40,3.44,US,2021-12-04 23:05:55
475,Zaysan,47.4667,84.8667,21.83,89,70,0.27,KZ,2021-12-04 23:05:56
476,Mount Gambier,-37.8333,140.7667,59.31,48,0,6.71,AU,2021-12-04 23:05:56
477,Shetpe,44.1667,52.1167,35.37,57,2,13.31,KZ,2021-12-04 23:05:56
478,Hailun,47.45,126.9333,9.39,90,7,12.37,CN,2021-12-04 23:05:56
479,Port Lincoln,-34.7333,135.8667,60.67,68,100,12.21,AU,2021-12-04 23:05:57
480,Dongsheng,39.8161,109.9776,26.38,29,0,8.48,CN,2021-12-04 23:05:57
481,Havre-Saint-Pierre,50.2334,-63.5986,25.93,51,9,21.52,CA,2021-12-04 23:05:57
482,Jiayuguan,39.8167,98.3,27.3,34,2,1.52,CN,2021-12-04 23:05:58
483,Kalengwa,-13.4659,25.0027,72.03,51,75,4.83,ZM,2021-12-04 23:05:58
484,Krasnoselkup,65.7,82.4667,-30.44,100,65,5.53,RU,2021-12-04 23:05:58
485,Verkhniy Fiagdon,42.8333,44.3053,16.47,32,73,11.21,RU,2021-12-04 23:05:58
486,Constitucion,-35.3333,-72.4167,63.57,64,2,13.13,CL,2021-12-04 23:05:59
487,Ilhabela,-23.7781,-45.3581,71.65,86,85,7.36,BR,2021-12-04 23:01:48
488,Rio Grande,-32.035,-52.0986,70.95,80,94,14.63,BR,2021-12-04 23:05:59
489,Acatlan,20.15,-98.45,61.03,61,0,6.51,MX,2021-12-04 23:05:59
490,Amahai,-3.3333,128.9167,79.77,84,100,3.31,ID,2021-12-04 23:06:00
491,Taoudenni,22.6783,-3.9836,59.27,20,1,12.62,ML,2021-12-04 23:06:00
492,Henties Bay,-22.116,14.2845,60.85,89,0,8.77,NA,2021-12-04 23:06:00
493,Durusu,41.3053,28.6767,50.94,93,100,5.01,TR,2021-12-04 23:06:01
494,La Puebla Del Rio,37.2679,-6.0626,56.86,86,1,6.2,ES,2021-12-04 23:06:01
495,Tanggu,39.0211,117.6469,28.36,53,0,5.32,CN,2021-12-04 23:06:01
496,Pasni,25.2631,63.471,72.72,70,0,4.43,PK,2021-12-04 23:06:01
497,Margate,51.3813,1.3862,42.96,75,92,8.01,GB,2021-12-04 23:06:02
498,Utete,-7.986,38.758,73.74,94,86,3.4,TZ,2021-12-04 23:06:02
499,Canutama,-6.5339,-64.3831,75.65,93,73,0.85,BR,2021-12-04 23:06:03
500,Micheweni,-4.9667,39.8333,78.12,82,23,4.63,TZ,2021-12-04 23:06:03
501,Yarada,17.65,83.2667,75.52,83,75,2.3,IN,2021-12-04 23:06:03
502,Guiyang,26.5833,106.7167,50.2,69,100,3.69,CN,2021-12-04 23:06:03
503,Anadyr,64.75,177.4833,-4.0,76,100,14.76,RU,2021-12-04 23:06:04
504,Kenai,60.5544,-151.2583,8.15,85,90,8.05,US,2021-12-04 23:05:40
505,Ivesti,45.6833,27.5167,34.84,83,88,8.32,RO,2021-12-04 23:06:04
506,Tiznit,29.5833,-9.5,55.09,59,1,2.46,MA,2021-12-04 23:07:04
507,Ntchisi,-13.5278,33.9149,65.16,62,23,3.56,MW,2021-12-04 23:07:05
508,Rudiskes,54.5167,24.8333,29.21,99,95,2.46,LT,2021-12-04 23:07:05
509,Namtsy,62.7161,129.6658,-21.89,98,100,3.96,RU,2021-12-04 23:07:05
510,Hualmay,-11.0964,-77.6139,68.27,82,97,9.71,PE,2021-12-04 23:07:06
511,Terrak,65.087,12.3715,24.67,67,9,19.71,NO,2021-12-04 23:07:06
512,Santa Maria,-29.6842,-53.8069,78.03,57,99,11.12,BR,2021-12-04 23:07:06
513,Machaneng,-23.1862,27.4886,77.29,59,84,9.86,BW,2021-12-04 23:07:07
514,Tecoanapa,16.5167,-98.75,83.19,66,2,9.08,MX,2021-12-04 23:07:07
515,Laguna,38.421,-121.4238,71.22,97,90,0.0,US,2021-12-04 23:07:07
516,Roanoke,37.271,-79.9414,61.18,69,75,8.05,US,2021-12-04 23:04:37
517,Sampit,-2.5333,112.95,73.35,98,100,2.21,ID,2021-12-04 23:07:08
518,Kamenka,51.3223,42.7678,27.75,84,100,3.96,RU,2021-12-04 23:07:08
519,Pemba,-12.974,40.5178,80.08,73,22,8.7,MZ,2021-12-04 23:07:08
520,Surin,14.8818,103.4936,59.4,69,25,10.6,TH,2021-12-04 23:07:09
521,Buckeburg,52.2607,9.0494,40.55,95,100,5.01,DE,2021-12-04 23:07:09
522,Didi Lilo,41.7361,44.9647,26.38,80,0,1.14,GE,2021-12-04 23:07:10
523,Ochamchira,42.7121,41.4721,51.51,48,80,2.15,GE,2021-12-04 23:07:10
524,Grindavik,63.8424,-22.4338,28.87,80,0,13.8,IS,2021-12-04 23:06:20
525,Camacari,-12.6975,-38.3242,80.37,90,27,5.23,BR,2021-12-04 23:07:10
526,Libreville,0.3925,9.4537,78.82,94,20,4.61,GA,2021-12-04 23:07:10
527,Shangzhi,45.2167,127.9667,7.32,89,7,3.78,CN,2021-12-04 23:07:11
528,Georgiyevka,43.0369,74.7114,37.44,100,90,4.47,KZ,2021-12-04 23:07:11
529,Ixtapa,20.7,-105.2,81.63,78,75,8.05,MX,2021-12-04 23:07:11
530,Giraldo,6.6831,-75.9892,53.29,98,100,3.06,CO,2021-12-04 23:07:12
531,Porto Santo,33.072,-16.3415,66.11,59,75,16.11,PT,2021-12-04 23:07:12
