City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
457,Kloulklubed,PW,82.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
459,Antsohihy,MG,76.08,clear sky,-14.8796,47.9875,Hotel de Ville
460,Manali,IN,81.07,clear sky,13.1667,80.2667,Sarathy Lodge
463,San Patricio,US,79.48,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
464,Daru,PG,83.79,overcast clouds,-9.0763,143.2092,Daru Lodge
471,Baracoa,CU,77.5,broken clouds,20.3467,-74.4958,Hostal Rio Miel
484,Sao Joao Da Barra,BR,75.6,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
486,Poway,US,75.43,haze,32.9628,-117.0359,Hampton Inn & Suites San Diego-Poway
487,Gombong,ID,82.83,overcast clouds,-7.6072,109.5142,Grafika Hotel Dan Restoran
488,Progreso,MX,84.31,clear sky,21.2833,-89.6667,Playa Linda Hotel
489,Kudahuvadhoo,MV,82.09,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
508,Itarema,BR,81.01,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
523,Vila Velha,BR,78.75,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
524,Boyolangu,ID,76.53,overcast clouds,-8.1181,111.8935,Yos ega cv
525,Sibolga,ID,75.97,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
526,Ngunguru,NZ,77.16,scattered clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
532,Takoradi,GH,80.17,scattered clouds,4.8845,-1.7554,Raybow International Hotel
534,Tena,EC,77.76,moderate rain,-0.9833,-77.8167,Hostal Tena Ñaui
541,Kandrian,PG,85.48,overcast clouds,-6.2167,149.55,Kandrian Station
542,Bida,NG,79.09,broken clouds,9.0833,6.0167,Royal Suite
546,Santa Cruz Cabralia,BR,77.23,scattered clouds,-16.2781,-39.0247,Puerto Princesa Inn
550,Makurdi,NG,79.36,scattered clouds,7.7411,8.5121,Doo Palace Hotel
551,Tagusao,PH,78.76,few clouds,9.1924,117.8141,Toledo
558,Kilindoni,TZ,79.41,overcast clouds,-7.9139,39.6668,Bustani B&B
565,Canto Do Buriti,BR,75.69,broken clouds,-8.11,-42.9444,Novo Hotel
570,Yeppoon,AU,80.38,broken clouds,-23.1333,150.7333,Villa Mar Colina
587,Wairoa,NZ,79.56,overcast clouds,-39.0333,177.3667,Riverside Motor Camp
589,Bourail,NC,85.77,scattered clouds,-21.5667,165.4833,Motel Allamanda
592,Kavaratti,IN,80.8,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
593,Arawa,PG,85.41,overcast clouds,-6.2132,155.5367,Coastline Guest House
594,Pangai,TO,84.31,few clouds,-19.8,-174.35,Ha'apai Beach Resort
597,Ipixuna,BR,75.15,overcast clouds,-1.7625,-48.8043,Casa da Oscarina
598,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
601,Kainantu,PG,75.36,broken clouds,-6.2887,145.8655,Sylvester buku
605,Parana,AR,78.55,broken clouds,-31.732,-60.5238,Howard Johnson by Wyndham Plaza Hotel Mayorazgo
607,Itupiranga,BR,75.81,overcast clouds,-5.1347,-49.3267,Hotel Panorama
608,Bassila,BJ,76.95,overcast clouds,9.0081,1.6654,COMPLEXE MAKOYA ET FILS
609,Luangwa,ZM,83.95,broken clouds,-15.6167,30.4167,Gerasimos Safari Lodge
615,Chikwawa,MW,80.13,broken clouds,-16.0335,34.8009,Thawale Lodge
616,Nkhotakota,MW,79.14,scattered clouds,-12.9274,34.2961,Sitima Inn
617,Labuhan,ID,80.19,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
623,Coahuayana,MX,89.08,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
627,Poso,ID,82.06,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
628,Acapulco,MX,84.02,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
641,Morant Bay,JM,82.02,scattered clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
649,Ukiah,US,75.13,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
651,Orocue,CO,79.83,overcast clouds,4.7912,-71.3354,Hotel Brisas de San Miguel
659,Alofi,NU,80.49,light rain,-19.0595,-169.9187,Taloa Heights
675,Ouahigouya,BF,76.17,clear sky,13.5828,-2.4216,Hotel Liberte
677,Gizo,SB,84.27,light rain,-8.103,156.8419,Imagination Island
678,Sibu,MY,75.51,moderate rain,2.3,111.8167,RH HOTEL (4 Star)
